,Actual size,Exposure,Maintenance fees,Age of building,Outdoor space,Locker,Property type:,Area:,Parking,Bed,Studio,Bath,Den
165,619,5,476.63,19,3,3,1,22,0,1,0,1,1
166,2813,6,729,13,4,2,1,68,1,3,0,4,1
167,850,3,513.86,9,3,3,1,127,0,2,0,2,1
168,778,3,544.29,0,3,3,1,99,0,2,0,2,0
169,670,0,448.31,11,3,3,1,72,0,1,0,1,1
170,1316,2,713.29,43,2,1,1,114,1,2,0,1,2
171,533,6,417.91,5,2,4,1,61,0,1,0,1,0
172,694,9,526.85,9,1,4,1,78,1,1,0,1,1
173,831,8,677.93,47,3,3,1,90,0,2,0,1,0
174,1500,5,1942.97,33,3,2,1,95,2,2,0,2,1
175,875,8,832.74,1,4,4,1,129,0,2,0,2,0
176,831,8,659.05,34,2,3,1,7,0,1,0,2,0
177,672,5,413.14,11,3,4,1,108,0,1,0,1,0
178,540,9,369.86,6,3,4,1,22,0,1,0,1,0
179,1949,0,1375.42,23,3,4,2,119,0,3,0,3,1
180,430,8,313.4,8,3,4,1,98,0,1,0,1,0
181,530,6,426.39,3,3,4,1,20,0,1,0,1,0
182,1290,7,969.92,6,2,4,1,7,1,2,0,2,0
183,1203,9,871.68,43,3,3,1,35,1,2,0,2,0
184,937,9,961.57,40,2,3,1,21,1,1,0,1,1
185,1473,5,1053.59,39,2,3,1,114,0,2,0,2,1
186,737,8,554.72,11,3,3,1,127,0,1,0,2,1
187,925,5,631.36,21,1,3,1,102,1,2,0,2,0
188,815,8,716.58,31,2,4,1,7,1,1,0,1,2
189,603,7,506.15,14,3,3,1,81,0,1,0,1,0
190,639,6,532.95,7,3,4,1,47,0,1,0,1,1
191,878,7,574.4,5,3,4,1,57,0,2,0,2,0
192,626,0,453.3,7,3,4,1,57,0,1,0,1,1
193,700,3,579.24,11,3,4,1,118,0,1,0,2,1
194,679,0,552,7,3,4,1,44,0,2,0,1,0
195,1015,8,907,18,3,2,1,57,0,2,0,2,1
196,654,8,635.87,16,3,4,1,76,0,1,0,1,1
197,1116,8,1023.75,36,3,3,1,36,1,3,0,2,0
198,532,2,471.26,7,3,4,1,61,1,1,0,1,0
199,584,6,356.56,8,3,4,1,68,0,1,0,1,0
200,1000,3,713.91,18,0,4,1,118,0,2,0,2,0
201,1407,3,1980.54,10,2,4,1,61,2,1,0,2,0
202,825,4,557.62,1,4,3,1,8,1,2,0,2,0
203,518,2,371.22,6,2,3,1,24,0,1,0,1,0
204,1492,8,1192.82,31,3,4,1,10,2,3,0,2,0
205,1131,5,649.29,44,3,1,1,64,0,3,0,2,0
206,675,6,786.22,29,2,3,1,124,0,1,0,1,1
